,Blum Blum Shub,Hash,RSA,Control,Blum Blum Shub Norm,Hash Norm,RSA Norm,Control Norm
256,3.4e-05,3.4e-05,3.4e-05,3.3e-05,1.0303030303030303,1.0303030303030303,1.0303030303030303,1.0
512,3.6e-05,3.5e-05,3.8e-05,3.6e-05,1.0,0.9722222222222221,1.0555555555555556,1.0
1024,3.5e-05,3.4e-05,3.4e-05,3.4e-05,1.0294117647058822,1.0,1.0,1.0
