,Blum Blum Shub,Hash,RSA,Control,Blum Blum Shub Norm,Hash Norm,RSA Norm,Control Norm
8,0.000186245015,4.87872e-07,4.3099977e-05,1.71284e-07,1087.3462495037481,2.848322084958315,251.62873940356369,1.0
16,0.000181908386,4.85524e-07,4.6022339e-05,1.7987700000000002e-07,1011.2931947942204,2.699200008894967,255.85449501603873,1.0
32,0.000177003869,4.91238e-07,4.9277535e-05,1.68043e-07,1053.324857328184,2.9232874918919567,293.2436043155621,1.0
64,0.00017044904500000002,4.99881e-07,5.2339104e-05,1.7030400000000001e-07,1000.8516828729801,2.935227593010146,307.32750845546786,1.0
