,8,16,32,64
0,3.6e-05,3.4e-05,3.4e-05,3.6e-05
1,3.4e-05,3.5e-05,3.3e-05,3.4e-05
2,3.4e-05,3.4e-05,3.7e-05,3.5e-05
3,3.5e-05,3.7e-05,3.2e-05,3.7e-05
4,3.8e-05,3.5e-05,3.6e-05,3.6e-05
5,3.4e-05,3.8e-05,3.6e-05,3.3e-05
6,3.5e-05,3.6e-05,3.8e-05,3.5e-05
7,3.6e-05,3.3e-05,3.4e-05,3.3e-05
