,Blum Blum Shub,Hash,RSA,Control,Blum Blum Shub Norm,Hash Norm,RSA Norm,Control Norm
8,3.2e-05,0.000733,0.005164,3.8e-05,0.8421052631578947,19.289473684210527,135.89473684210526,1.0
16,3.6e-05,3.4e-05,0.000412,3.8e-05,0.9473684210526315,0.894736842105263,10.842105263157894,1.0
32,3.3e-05,3.5e-05,5.8e-05,3.5e-05,0.9428571428571431,1.0,1.6571428571428573,1.0
64,3.4e-05,3.4e-05,3.7e-05,3.4e-05,1.0,1.0,1.088235294117647,1.0
